,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
606.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
607.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
608.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
609.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
610.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
611.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
612.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
613.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
614.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
615.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
616.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
617.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
618.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
619.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
620.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
621.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
622.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
623.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
624.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
625.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
626.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
627.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
628.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
629.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
630.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
631.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
632.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
633.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
634.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
635.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
636.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
637.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
638.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
639.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
640.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
641.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
642.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
643.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
644.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
645.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
646.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
647.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
648.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
649.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
650.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
651.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
652.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
653.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
654.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
655.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
656.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
657.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
658.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
659.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
660.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
661.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
662.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
663.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
664.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
665.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
666.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
667.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
668.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
669.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
670.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
671.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
672.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
673.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
674.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
675.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
676.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
677.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
678.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
679.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
680.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
681.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
682.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
683.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
684.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
685.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
686.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
687.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
688.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
689.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
690.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
691.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
692.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
693.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
694.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
695.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
696.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
697.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
698.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
699.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
700.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
701.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
702.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
703.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
704.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
705.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
706.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
707.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
708.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
709.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
710.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
711.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
712.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
713.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
714.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
715.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
716.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
717.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
718.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
719.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
720.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
721.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
722.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
723.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
724.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
725.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
726.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
727.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
728.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
729.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
730.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
731.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
732.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
733.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
734.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
735.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
736.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
737.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
738.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
739.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
740.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
741.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
742.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
743.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
744.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
745.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
746.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
747.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
748.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
749.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
750.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
751.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
752.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
753.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
754.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
755.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
756.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
757.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
758.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
759.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
760.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
761.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
762.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
763.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
764.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
765.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
766.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
767.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
768.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
769.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
770.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
771.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
772.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
773.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
774.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
775.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
776.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
777.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
778.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
779.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
780.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
781.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
782.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
783.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
784.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
785.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
786.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
787.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
788.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
789.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
790.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
791.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
792.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
793.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
794.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
795.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
796.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
797.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
798.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
799.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
800.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
801.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
802.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
803.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
804.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
805.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
806.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
807.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
808.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
809.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
810.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
811.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
812.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
813.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
814.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
815.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
816.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
817.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
818.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
819.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
820.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
821.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
822.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
823.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
824.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
825.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
826.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
827.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
828.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
829.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
830.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
831.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
832.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
833.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
834.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
835.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
836.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
837.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
838.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
839.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
840.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
841.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
842.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
843.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
844.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
845.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
846.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
847.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
848.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
849.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
850.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
851.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
852.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
853.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
854.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
855.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
856.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
857.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
858.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
859.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
860.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
861.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
862.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
863.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
864.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
865.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
866.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
867.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
868.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
869.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
870.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
871.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
872.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
873.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
874.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
875.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
876.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
877.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
878.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
879.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
880.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
881.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
882.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
883.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
884.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
885.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
886.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
887.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
888.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
889.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
890.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
891.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
892.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
893.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
894.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
895.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
896.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
897.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
898.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
899.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
900.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
901.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
902.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
903.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
904.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
905.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
906.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
907.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
908.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
909.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
910.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
911.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
912.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
913.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
914.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
915.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
916.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
917.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
918.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
919.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
920.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
921.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
922.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
923.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
924.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
925.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
926.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
927.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
928.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
929.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
930.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
931.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
932.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
933.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
934.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
935.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
936.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
937.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
938.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
939.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
940.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
941.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
942.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
943.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
944.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
945.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
946.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
947.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
948.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
949.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
950.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
951.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
952.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
953.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
954.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
955.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
956.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
957.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
958.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
959.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
960.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
961.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
962.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
963.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
964.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
965.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
966.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
967.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
968.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
969.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
970.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
971.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
972.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
973.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
974.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
975.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
976.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
977.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
978.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
979.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
980.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
981.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
982.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
983.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
984.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",,
985.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
986.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
987.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
988.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
